Country,Element,Year,Unit,Value,Land SQM Text,Land sqkm
Liechtenstein,Stocks,2018,Head,3989,160 sq km,160.00
Saint Kitts and Nevis,Stocks,2018,Head,5944,260 sq km,260.00
Malta,Stocks,2018,Head,13169,320 sq km,320.00
Grenada,Stocks,2018,Head,13658,340 sq km,340.00
United States Virgin Islands,Stocks,2018,Head,3264,346.4 km,346.40
Saint Vincent and the Grenadines,Stocks,2018,Head,8430,390 sq km,390.00
Barbados,Stocks,2018,Head,13802,430 sq km,430.00
Antigua and Barbuda,Stocks,2018,Head,13861,440 sq km,440.00
Saint Lucia,Stocks,2018,Head,9064,610 sq km,610.00
Bahrain,Stocks,2018,Head,38650,710 sq km,710.00
Dominica,Stocks,2018,Head,7990,750 sq km,750.00
Sao Tome and Principe,Stocks,2018,Head,3436,960 sq km,960.00
Hong Kong,Stocks,2018,Head,21,"1,106 km",1106.00
Martinique,Stocks,2018,Head,12626,"1,128 km",1128.00
Faroe Islands,Stocks,2018,Head,70616,"1,400 sq km",1400.00
Guadeloupe,Stocks,2018,Head,1340,"1,628 km",1628.00
Comoros,Stocks,2018,Head,24815,"1,860 sq km",1860.00
Mauritius,Stocks,2018,Head,3806,"2,030 sq km",2030.00
Réunion,Stocks,2018,Head,897,"2,512 km",2512.00
Luxembourg,Stocks,2018,Head,8654,"2,590 sq km",2590.00
French Polynesia,Stocks,2018,Head,442,"3,660 sq km",3660.00
Cabo Verde,Stocks,2018,Head,12620,"4,033 km",4033.00
Trinidad and Tobago,Stocks,2018,Head,14152,"5,130 sq km",5130.00
Brunei Darussalam,Stocks,2018,Head,4622,"5,765 km",5765.00
Palestine,Stocks,2018,Head,753677,"6,220 km",6220.00
Puerto Rico,Stocks,2018,Head,6998,"8,870 sq km",8870.00
Cyprus,Stocks,2018,Head,330229,"9,240 sq km",9240.00
Lebanon,Stocks,2018,Head,459829,"10,230 sq km",10230.00
Jamaica,Stocks,2018,Head,1336,"10,830 sq km",10830.00
Qatar,Stocks,2018,Head,272485,"11,590 sq km",11590.00
Kuwait,Stocks,2018,Head,684231,"17,820 sq km",17820.00
Fiji,Stocks,2018,Head,27697,"18,270 sq km",18270.00
New Caledonia,Stocks,2018,Head,2270,"18,280 sq km",18280.00
Slovenia,Stocks,2018,Head,108761,"20,140 sq km",20140.00
El Salvador,Stocks,2018,Head,5319,"20,720 sq km",20720.00
Israel,Stocks,2018,Head,477340,"21,640 sq km",21640.00
Belize,Stocks,2018,Head,15751,"22,810 sq km",22810.00
Djibouti,Stocks,2018,Head,469095,"23,180 sq km",23180.00
Rwanda,Stocks,2018,Head,601836,"24,670 sq km",24670.00
Burundi,Stocks,2018,Head,548608,"25,680 sq km",25680.00
Albania,Stocks,2018,Head,1863837,"27,400 sq km",27400.00
Haiti,Stocks,2018,Head,157912,"27,560 sq km",27560.00
Equatorial Guinea,Stocks,2018,Head,40617,"28,050 sq km",28050.00
Guinea-Bissau,Stocks,2018,Head,505195,"28,120 sq km",28120.00
Armenia,Stocks,2018,Head,637978,"28,200 sq km",28200.00
Belgium,Stocks,2018,Head,86672,"30,280 sq km",30280.00
Lesotho,Stocks,2018,Head,1610010,"30,350 sq km",30350.00
Netherlands,Stocks,2018,Head,956943,"33,760 sq km",33760.00
Bhutan,Stocks,2018,Head,9461,"38,394 sq km",38394.00
Switzerland,Stocks,2018,Head,343470,"40,000 sq km",40000.00
Estonia,Stocks,2018,Head,73100,"42,390 sq km",42390.00
Denmark,Stocks,2018,Head,143797,"42,430 sq km",42430.00
Slovakia,Stocks,2018,Head,365344,"48,100 sq km",48100.00
Dominican Republic,Stocks,2018,Head,251481,"48,320 sq km",48320.00
Costa Rica,Stocks,2018,Head,2819,"51,060 sq km",51060.00
Bosnia and Herzegovina,Stocks,2018,Head,1012546,"51,200 sq km",51200.00
Croatia,Stocks,2018,Head,636294,"53,910 sq km",53910.00
Togo,Stocks,2018,Head,1552087,"54,390 sq km",54390.00
Latvia,Stocks,2018,Head,112208,"62,250 sq km",62250.00
Lithuania,Stocks,2018,Head,169685,"62,680 sq km",62680.00
Sri Lanka,Stocks,2018,Head,11382,"64,630 sq km",64630.00
Ireland,Stocks,2018,Head,5109300,"68,890 sq km",68890.00
Georgia,Stocks,2018,Head,855900,"69,490 sq km",69490.00
Sierra Leone,Stocks,2018,Head,871388,"71,620 sq km",71620.00
Austria,Stocks,2018,Head,401480,"82,450 sq km",82450.00
Azerbaijan,Stocks,2018,Head,7681674,"82,629 sq km",82629.00
United Arab Emirates,Stocks,2018,Head,2147665,"83,600 sq km",83600.00
Jordan,Stocks,2018,Head,3022882,"88,240 sq km",88240.00
Hungary,Stocks,2018,Head,1146000,"89,610 sq km",89610.00
Portugal,Stocks,2018,Head,2208000,"91,500 sq km",91500.00
Malawi,Stocks,2018,Head,317899,"94,080 sq km",94080.00
Liberia,Stocks,2018,Head,309992,"96,320 sq km",96320.00
South Korea,Stocks,2018,Head,160789,"100,210 km",100210.00
Iceland,Stocks,2018,Head,432023,"100,250 sq km",100250.00
Eritrea,Stocks,2018,Head,2432034,"101,000 sq km",101000.00
Guatemala,Stocks,2018,Head,595653,"107,160 sq km",107160.00
Bulgaria,Stocks,2018,Head,1316784,"108,610 sq km",108610.00
Cuba,Stocks,2018,Head,1471800,"109,820 sq km",109820.00
Benin,Stocks,2018,Head,954000,"110,620 sq km",110620.00
Honduras,Stocks,2018,Head,16614,"111,890 sq km",111890.00
Nicaragua,Stocks,2018,Head,6768,"119,990 sq km",119990.00
Greece,Stocks,2018,Head,8834259,"128,900 sq km",128900.00
Bangladesh,Stocks,2018,Head,2274116,"130,170 sq km",130170.00
Tajikistan,Stocks,2018,Head,3666729,"139,960 sq km",139960.00
Nepal,Stocks,2018,Head,800749,"143,350 sq km",143350.00
Tunisia,Stocks,2018,Head,6494939,"155,360 sq km",155360.00
Suriname,Stocks,2018,Head,5983,"156,000 sq km",156000.00
Uruguay,Stocks,2018,Head,6399000,"175,020 sq km",175020.00
Syrian Arab Republic,Stocks,2018,Head,17716882,"185,180 km",185180.00
Kyrgyzstan,Stocks,2018,Head,5361000,"191,800 sq km",191800.00
Senegal,Stocks,2018,Head,6096261,"192,530 sq km",192530.00
Guyana,Stocks,2018,Head,131770,"196,850 sq km",196850.00
Uganda,Stocks,2018,Head,2094426,"197,100 sq km",197100.00
Belarus,Stocks,2018,Head,87600,"202,900 sq km",202900.00
Congo,Stocks,2018,Head,129741,"214,969 km",214969.00
Ghana,Stocks,2018,Head,4886604,"227,540 sq km",227540.00
Romania,Stocks,2018,Head,9981900,"229,890 sq km",229890.00
