Country,Element,Year,Unit,Value,Land SQM Text,Land sqkm,Sheep per SQKM
Liechtenstein,Stocks,2018,Head,3989,160 sq km,160,24.93125
Saint Kitts and Nevis,Stocks,2018,Head,5944,260 sq km,260,22.86153846
Malta,Stocks,2018,Head,13169,320 sq km,320,41.153125
Grenada,Stocks,2018,Head,13658,340 sq km,340,40.17058824
United States Virgin Islands,Stocks,2018,Head,3264,346.4 km,346.4,9.422632794
Saint Vincent and the Grenadines,Stocks,2018,Head,8430,390 sq km,390,21.61538462
Barbados,Stocks,2018,Head,13802,430 sq km,430,32.09767442
Antigua and Barbuda,Stocks,2018,Head,13861,440 sq km,440,31.50227273
Saint Lucia,Stocks,2018,Head,9064,610 sq km,610,14.85901639
Bahrain,Stocks,2018,Head,38650,710 sq km,710,54.43661972
Dominica,Stocks,2018,Head,7990,750 sq km,750,10.65333333
Sao Tome and Principe,Stocks,2018,Head,3436,960 sq km,960,3.579166667
Hong Kong,Stocks,2018,Head,21,"1,106 km",1106,0.018987342
Martinique,Stocks,2018,Head,12626,"1,128 km",1128,11.19326241
Faroe Islands,Stocks,2018,Head,70616,"1,400 sq km",1400,50.44
Guadeloupe,Stocks,2018,Head,1340,"1,628 km",1628,0.823095823
Comoros,Stocks,2018,Head,24815,"1,860 sq km",1860,13.34139785
Mauritius,Stocks,2018,Head,3806,"2,030 sq km",2030,1.874876847
Réunion,Stocks,2018,Head,897,"2,512 km",2512,0.357085987
Luxembourg,Stocks,2018,Head,8654,"2,590 sq km",2590,3.341312741
French Polynesia,Stocks,2018,Head,442,"3,660 sq km",3660,0.120765027
Cabo Verde,Stocks,2018,Head,12620,"4,033 km",4033,3.12918423
Trinidad and Tobago,Stocks,2018,Head,14152,"5,130 sq km",5130,2.758674464
Brunei Darussalam,Stocks,2018,Head,4622,"5,765 km",5765,0.801734605
Palestine,Stocks,2018,Head,753677,"6,220 km",6220,121.1699357
Puerto Rico,Stocks,2018,Head,6998,"8,870 sq km",8870,0.788951522
Cyprus,Stocks,2018,Head,330229,"9,240 sq km",9240,35.73906926
Lebanon,Stocks,2018,Head,459829,"10,230 sq km",10230,44.94907136
Jamaica,Stocks,2018,Head,1336,"10,830 sq km",10830,0.123361034
Qatar,Stocks,2018,Head,272485,"11,590 sq km",11590,23.51035375
Kuwait,Stocks,2018,Head,684231,"17,820 sq km",17820,38.39680135
Fiji,Stocks,2018,Head,27697,"18,270 sq km",18270,1.515982485
New Caledonia,Stocks,2018,Head,2270,"18,280 sq km",18280,0.124179431
Slovenia,Stocks,2018,Head,108761,"20,140 sq km",20140,5.400248262
El Salvador,Stocks,2018,Head,5319,"20,720 sq km",20720,0.256708494
Israel,Stocks,2018,Head,477340,"21,640 sq km",21640,22.05822551
Belize,Stocks,2018,Head,15751,"22,810 sq km",22810,0.690530469
Djibouti,Stocks,2018,Head,469095,"23,180 sq km",23180,20.23705781
Rwanda,Stocks,2018,Head,601836,"24,670 sq km",24670,24.39546007
Burundi,Stocks,2018,Head,548608,"25,680 sq km",25680,21.36323988
Albania,Stocks,2018,Head,1863837,"27,400 sq km",27400,68.02324818
Haiti,Stocks,2018,Head,157912,"27,560 sq km",27560,5.729753266
Equatorial Guinea,Stocks,2018,Head,40617,"28,050 sq km",28050,1.44802139
Guinea-Bissau,Stocks,2018,Head,505195,"28,120 sq km",28120,17.96568279
Armenia,Stocks,2018,Head,637978,"28,200 sq km",28200,22.62333333
Belgium,Stocks,2018,Head,86672,"30,280 sq km",30280,2.862351387
Lesotho,Stocks,2018,Head,1610010,"30,350 sq km",30350,53.04810544
Netherlands,Stocks,2018,Head,956943,"33,760 sq km",33760,28.34546801
Bhutan,Stocks,2018,Head,9461,"38,394 sq km",38394,0.246418711
Switzerland,Stocks,2018,Head,343470,"40,000 sq km",40000,8.58675
Estonia,Stocks,2018,Head,73100,"42,390 sq km",42390,1.724463317
Denmark,Stocks,2018,Head,143797,"42,430 sq km",42430,3.389040773
Slovakia,Stocks,2018,Head,365344,"48,100 sq km",48100,7.595509356
Dominican Republic,Stocks,2018,Head,251481,"48,320 sq km",48320,5.204490894
Costa Rica,Stocks,2018,Head,2819,"51,060 sq km",51060,0.055209557
Bosnia and Herzegovina,Stocks,2018,Head,1012546,"51,200 sq km",51200,19.77628906
Croatia,Stocks,2018,Head,636294,"53,910 sq km",53910,11.80289371
Togo,Stocks,2018,Head,1552087,"54,390 sq km",54390,28.53625666
Latvia,Stocks,2018,Head,112208,"62,250 sq km",62250,1.802538153
Lithuania,Stocks,2018,Head,169685,"62,680 sq km",62680,2.707163369
Sri Lanka,Stocks,2018,Head,11382,"64,630 sq km",64630,0.176110166
Ireland,Stocks,2018,Head,5109300,"68,890 sq km",68890,74.16606184
Georgia,Stocks,2018,Head,855900,"69,490 sq km",69490,12.31688013
Sierra Leone,Stocks,2018,Head,871388,"71,620 sq km",71620,12.16682491
Austria,Stocks,2018,Head,401480,"82,450 sq km",82450,4.869375379
Azerbaijan,Stocks,2018,Head,7681674,"82,629 sq km",82629,92.96583524
United Arab Emirates,Stocks,2018,Head,2147665,"83,600 sq km",83600,25.68977273
Jordan,Stocks,2018,Head,3022882,"88,240 sq km",88240,34.25750227
Hungary,Stocks,2018,Head,1146000,"89,610 sq km",89610,12.78875126
Portugal,Stocks,2018,Head,2208000,"91,500 sq km",91500,24.13114754
Malawi,Stocks,2018,Head,317899,"94,080 sq km",94080,3.379028486
Liberia,Stocks,2018,Head,309992,"96,320 sq km",96320,3.218355482
South Korea,Stocks,2018,Head,160789,"100,210 km",100210,1.604520507
Iceland,Stocks,2018,Head,432023,"100,250 sq km",100250,4.309456359
Eritrea,Stocks,2018,Head,2432034,"101,000 sq km",101000,24.07954455
Guatemala,Stocks,2018,Head,595653,"107,160 sq km",107160,5.558538634
Bulgaria,Stocks,2018,Head,1316784,"108,610 sq km",108610,12.12396649
Cuba,Stocks,2018,Head,1471800,"109,820 sq km",109820,13.40193043
Benin,Stocks,2018,Head,954000,"110,620 sq km",110620,8.624118604
Honduras,Stocks,2018,Head,16614,"111,890 sq km",111890,0.148485119
Nicaragua,Stocks,2018,Head,6768,"119,990 sq km",119990,0.0564047
Greece,Stocks,2018,Head,8834259,"128,900 sq km",128900,68.5357564
Bangladesh,Stocks,2018,Head,2274116,"130,170 sq km",130170,17.47035415
Tajikistan,Stocks,2018,Head,3666729,"139,960 sq km",139960,26.19840669
Nepal,Stocks,2018,Head,800749,"143,350 sq km",143350,5.585971399
Tunisia,Stocks,2018,Head,6494939,"155,360 sq km",155360,41.80573507
Suriname,Stocks,2018,Head,5983,"156,000 sq km",156000,0.038352564
Uruguay,Stocks,2018,Head,6399000,"175,020 sq km",175020,36.56153582
Syrian Arab Republic,Stocks,2018,Head,17716882,"185,180 km",185180,95.67384167
Kyrgyzstan,Stocks,2018,Head,5361000,"191,800 sq km",191800,27.95099062
Senegal,Stocks,2018,Head,6096261,"192,530 sq km",192530,31.66395367
Guyana,Stocks,2018,Head,131770,"196,850 sq km",196850,0.669392939
Uganda,Stocks,2018,Head,2094426,"197,100 sq km",197100,10.62621005
Belarus,Stocks,2018,Head,87600,"202,900 sq km",202900,0.431739773
Congo,Stocks,2018,Head,129741,"214,969 km",214969,0.603533533
Ghana,Stocks,2018,Head,4886604,"227,540 sq km",227540,21.47580206
Romania,Stocks,2018,Head,9981900,"229,890 sq km",229890,43.42033146
United Kingdom,Stocks,2018,Head,33781000,"241,930 sq km",241930,139.6312983
Guinea,Stocks,2018,Head,2708364,"245,720 sq km",245720,11.0221553
Gabon,Stocks,2018,Head,218782,"257,670 sq km",257670,0.849078278
Western Sahara,Stocks,2018,Head,37147,"266,000 km",266000,0.139650376
New Zealand,Stocks,2018,Head,27295749,"267,710 sq km",267710,101.9601397
Burkina Faso,Stocks,2018,Head,10394652,"273,600 sq km",273600,37.99214912
Ecuador,Stocks,2018,Head,355897,"276,840 sq km",276840,1.285569282
Italy,Stocks,2018,Head,7179158,"294,140 sq km",294140,24.40728225
Philippines,Stocks,2018,Head,30000,"298,170 sq km",298170,0.100613744
Finland,Stocks,2018,Head,154999,"304,090 sq km",304090,0.509714229
Poland,Stocks,2018,Head,276737,"304,250 sq km",304250,0.909571076
Norway,Stocks,2018,Head,2402828,"304,280 sq km",304280,7.896766136
Oman,Stocks,2018,Head,605288,"309,500 sq km",309500,1.955696284
Côte d'Ivoire,Stocks,2018,Head,1867482,"322,463 km",322463,5.791306289
Malaysia,Stocks,2018,Head,138111,"328,550 sq km",328550,0.420365241
Germany,Stocks,2018,Head,1569900,"348,770 sq km",348770,4.50124724
Japan,Stocks,2018,Head,15161,"364,500 sq km",364500,0.041593964
Zimbabwe,Stocks,2018,Head,436920,"386,850 sq km",386850,1.129430012
Paraguay,Stocks,2018,Head,531947,"397,300 sq km",397300,1.338905109
Sweden,Stocks,2018,Head,360120,"410,330 sq km",410330,0.877635074
Greenland,Stocks,2018,Head,18083,"410,450 sq km",410450,0.044056523
Uzbekistan,Stocks,2018,Head,17775000,"425,400 sq km",425400,41.7842031
Iraq,Stocks,2018,Head,6501583,"437,370 sq km",437370,14.86517822
Morocco,Stocks,2018,Head,19880000,"446,300 sq km",446300,44.54402868
Papua New Guinea,Stocks,2018,Head,7350,"452,860 sq km",452860,0.016230182
Turkmenistan,Stocks,2018,Head,14074027,"469,930 sq km",469930,29.94919882
Cameroon,Stocks,2018,Head,3436274,"472,710 sq km",472710,7.269306763
Spain,Stocks,2018,Head,15852525,"498,980 sq km",498980,31.76986052
Thailand,Stocks,2018,Head,40681,"510,890 sq km",510890,0.079627709
Yemen,Stocks,2018,Head,9661574,"527,968 km",527968,18.29954467
France,Stocks,2018,Head,7042206,"547,660 sq km",547660,12.85871891
Botswana,Stocks,2018,Head,223030,"566,730 sq km",566730,0.393538369
Kenya,Stocks,2018,Head,19485699,"569,140 sq km",569140,34.23709281
Ukraine,Stocks,2018,Head,727200,"579,330 sq km",579330,1.255243126
Madagascar,Stocks,2018,Head,847678,"581,540 sq km",581540,1.457643498
S. Sudan,Stocks,2018,Head,16277418,"619,745 km",619745,26.26470242
Central African Rep.,Stocks,2018,Head,446966,"623,000 sq km",623000,0.717441413
Somalia,Stocks,2018,Head,10649679,"627,340 sq km",627340,16.97592852
Afghanistan,Stocks,2018,Head,14023689,"652,230 sq km",652230,21.5011407
Myanmar,Stocks,2018,Head,1334305,"676,575 km",676575,1.972146473
Zambia,Stocks,2018,Head,261987,"743,390 sq km",743390,0.352422013
Chile,Stocks,2018,Head,3198130,"743,800 sq km",743800,4.299717666
Turkey,Stocks,2018,Head,33677636,"769,630 sq km",769630,43.75821629
Pakistan,Stocks,2018,Head,30498000,"770,880 sq km",770880,39.56257783
Mozambique,Stocks,2018,Head,169310,"786,380 sq km",786380,0.215303034
Namibia,Stocks,2018,Head,1717774,"823,290 sq km",823290,2.086474997
Venezuela,Stocks,2018,Head,610553,"882,050 sq km",882050,0.692197721
Tanzania,Stocks,2018,Head,7782332,"885,800 sq km",885800,8.785653646
Nigeria,Stocks,2018,Head,42971860,"910,770 sq km",910770,47.18190103
Ethiopia,Stocks,2018,Head,31688157,"1,000,000 sq km",1000000,31.688157
Egypt,Stocks,2018,Head,5552849,1.01 million sq km,1010000,5.497870297
Mauritania,Stocks,2018,Head,11035860,1.03 million sq km,1030000,10.71442718
Bolivia,Stocks,2018,Head,7493000,1.08 million sq km,1080000,6.937962963
Colombia,Stocks,2018,Head,913051,1.11 million sq km,1110000,0.822568468
South Africa,Stocks,2018,Head,22500072,1.21 million sq km,1210000,18.59510083
Mali,Stocks,2018,Head,18270000,1.22 million sq km,1220000,14.97540984
Angola,Stocks,2018,Head,1170996,1.25 million sq km,1250000,0.9367968
Chad,Stocks,2018,Head,33215051,1.26 million sq km,1260000,26.36115159
Niger,Stocks,2018,Head,12746788,1.27 million sq km,1270000,10.03684094
Peru,Stocks,2018,Head,11331908,1.28 million sq km,1280000,8.853053125
Mongolia,Stocks,2018,Head,30554804,1.55 million sq km,1550000,19.71277677
Iran,Stocks,2018,Head,39670704,1.648 million sq km,1648000,24.07202913
Libya,Stocks,2018,Head,7449771,1.76 million sq km,1760000,4.232824432
Indonesia,Stocks,2018,Head,17398000,1.81 million sq km,1810000,9.612154696
Sudan,Stocks,2018,Head,40846000,1.886 million sq km,1886000,21.65747614
Mexico,Stocks,2018,Head,8683835,1.94 million sq km,1940000,4.476203608
Saudi Arabia,Stocks,2018,Head,9408766,2 million sq km,2000000,4.704383
Dem. Rep. Congo,Stocks,2018,Head,899191,2.27 million sq km,2270000,0.396119383
Algeria,Stocks,2018,Head,28693330,2.38 million sq km,2380000,12.05602101
Kazakhstan,Stocks,2018,Head,16416177,2.7 million sq km,2700000,6.080065556
Argentina,Stocks,2018,Head,14339908,2.74 million sq km,2740000,5.233543066
Caribbean,Stocks,2018,Head,2021330,2.754 million sq km,2754000,0.733961511
India,Stocks,2018,Head,61666343,2.97 million sq km,2970000,20.76307845
Australia,Stocks,2018,Head,70067316,7.68 million sq km,7680000,9.123348438
Brazil,Stocks,2018,Head,18948934,8.46 million sq km,8460000,2.239826714
Canada,Stocks,2018,Head,829400,9.09 million sq km,9090000,0.091243124
China,Stocks,2018,Head,164079093,9.33 million sq km,9330000,17.5861836
United States of America,Stocks,2018,Head,5265000,9.834 million sq km,9834000,0.535387431
Russia,Stocks,2018,Head,22347284,16.38 million sq km,16380000,1.364303053
Montserrat,Stocks,2018,Head,4839,102 km,102,47.44117647
Gambia,Stocks,2018,Head,72611,"11,295 km",11295,6.428596724
Falkland Islands,Stocks,2018,Head,699397,"12,173 km",12173,57.45477697
Montenegro,Stocks,2018,Head,186490,"13,812 km",13812,13.50202722
Bahamas,Stocks,2018,Head,6729,"13,878 km",13878,0.484868137
Timor-Leste,Stocks,2018,Head,47085,"15,007 km",15007,3.137535817
British Virgin Islands,Stocks,2018,Head,6100,153 km,153,39.86928105
Eswatini,Stocks,2018,Head,39544,"17,364 km",17364,2.277355448
Saint Pierre and Miquelon,Stocks,2018,Head,208,242 km,242,0.859504132
North Macedonia,Stocks,2018,Head,726990,"25,713 km",25713,28.273247
Republic of Moldova,Stocks,2018,Head,679149,"33,846 km",33846,20.06585712
"Saint Helena, Ascension and Tristan da Cunha",Stocks,2018,Head,794,420 km,420,1.89047619
Czechia,Stocks,2018,Head,218915,"78,866 km",78866,2.775784242
French Guiana,Stocks,2018,Head,1089,"83,534 km",83534,0.013036608
Serbia,Stocks,2018,Head,1711677,"88,361 km",88361,19.3714082
Netherlands Antilles (former),Stocks,2018,Head,10005,999 km,999,10.01501502
