Location,Number,Year,Sheep_Type,Latitude,Longitude
Northland                  , 164 ,2018,Breeding Ewes,-35.43521,174.16651
Auckland                   , S ,2018,Breeding Ewes,-36.848461,174.763336
Waikato                    ," 1,004 ",2018,Breeding Ewes,-37.390202,174.729004
Bay of Plenty              , 162 ,2018,Breeding Ewes,-37.68927,177.142288
Gisborne                   , 904 ,2018,Breeding Ewes,-38.662334,178.017654
Hawke's Bay                 ," 1,579 ",2018,Breeding Ewes,-39.6017,176.5804
Taranaki                   , 277 ,2018,Breeding Ewes,-39.2711067,174.154795
Manawat?-Whanganui," 3,251 ",2018,Breeding Ewes,-39.7001275,175.4986325
Wellington                 , 890 ,2018,Breeding Ewes,-41.2887953,174.7772114
Tasman                , 154 ,2018,Breeding Ewes,-41.30222105,172.8945319
Nelson, 18 ,2018,Breeding Ewes,-41.2710849,173.2836756
Marlborough             , 253 ,2018,Breeding Ewes,-41.47447475,173.8330263
West Coast                 , S ,2018,Breeding Ewes,-42.73894375,171.2438965
Canterbury                 ," 2,440 ",2018,Breeding Ewes,-43.65992407,171.1450195
Otago                      ," 3,364 ",2018,Breeding Ewes,-45.47554027,170.0244141
Southland                  ," 2,524 ",2018,Breeding Ewes,-45.89000816,167.6843262
Chatham Islands, S ,2018,Breeding Ewes,-43.98491011,-176.4624023
Northland                  ,21,2018,Ewe Hoggets,-35.43521,174.16651
Auckland                   , S ,2018,Ewe Hoggets,-36.848461,174.763336
Waikato                    ,161,2018,Ewe Hoggets,-37.390202,174.729004
Bay of Plenty              ,24,2018,Ewe Hoggets,-37.68927,177.142288
Gisborne                   ,134,2018,Ewe Hoggets,-38.662334,178.017654
Hawke's Bay                 ,173,2018,Ewe Hoggets,-39.6017,176.5804
Taranaki                   ,19,2018,Ewe Hoggets,-39.2711067,174.154795
Manawat?-Whanganui,453,2018,Ewe Hoggets,-39.7001275,175.4986325
Wellington                 ,139,2018,Ewe Hoggets,-41.2887953,174.7772114
Tasman                ,14,2018,Ewe Hoggets,-41.30222105,172.8945319
Nelson,0,2018,Ewe Hoggets,-41.2710849,173.2836756
Marlborough             ,26,2018,Ewe Hoggets,-41.47447475,173.8330263
West Coast                 , S ,2018,Ewe Hoggets,-42.73894375,171.2438965
Canterbury                 ,309,2018,Ewe Hoggets,-43.65992407,171.1450195
Otago                      ,260,2018,Ewe Hoggets,-45.47554027,170.0244141
Southland                  ,253,2018,Ewe Hoggets,-45.89000816,167.6843262
Chatham Islands, S ,2018,Ewe Hoggets,-43.98491011,-176.4624023
Northland                  ,142,2019,Breeding Ewes,-35.43521,174.16651
Auckland                   ,101,2019,Breeding Ewes,-36.848461,174.763336
Waikato                    ,978,2019,Breeding Ewes,-37.390202,174.729004
Bay of Plenty              ,144,2019,Breeding Ewes,-37.68927,177.142288
Gisborne                   ,819,2019,Breeding Ewes,-38.662334,178.017654
Hawke's Bay                 ,"1,523",2019,Breeding Ewes,-39.6017,176.5804
Taranaki                   ,301,2019,Breeding Ewes,-39.2711067,174.154795
Manawat?-Whanganui,"3,179",2019,Breeding Ewes,-39.7001275,175.4986325
Wellington                 ,874,2019,Breeding Ewes,-41.2887953,174.7772114
Tasman                ,144,2019,Breeding Ewes,-41.30222105,172.8945319
Nelson,7,2019,Breeding Ewes,-41.2710849,173.2836756
Marlborough             ,285,2019,Breeding Ewes,-41.47447475,173.8330263
West Coast                 ,S,2019,Breeding Ewes,-42.73894375,171.2438965
Canterbury                 ,"2,539",2019,Breeding Ewes,-43.65992407,171.1450195
Otago                      ,"3,326",2019,Breeding Ewes,-45.47554027,170.0244141
Southland                  ,"2,430",2019,Breeding Ewes,-45.89000816,167.6843262
Chatham Islands,S,2019,Breeding Ewes,-43.98491011,-176.4624023
Northland                  ,28,2019,Ewe Hoggets,-35.43521,174.16651
Auckland                   ,S,2019,Ewe Hoggets,-36.848461,174.763336
Waikato                    ,152,2019,Ewe Hoggets,-37.390202,174.729004
Bay of Plenty              ,S,2019,Ewe Hoggets,-37.68927,177.142288
Gisborne                   ,118,2019,Ewe Hoggets,-38.662334,178.017654
Hawke's Bay                 ,224,2019,Ewe Hoggets,-39.6017,176.5804
Taranaki                   ,36,2019,Ewe Hoggets,-39.2711067,174.154795
Manawat?-Whanganui,432,2019,Ewe Hoggets,-39.7001275,175.4986325
Wellington                 ,131,2019,Ewe Hoggets,-41.2887953,174.7772114
Tasman                ,S,2019,Ewe Hoggets,-41.30222105,172.8945319
Nelson,S,2019,Ewe Hoggets,-41.2710849,173.2836756
Marlborough             ,17,2019,Ewe Hoggets,-41.47447475,173.8330263
West Coast                 ,S,2019,Ewe Hoggets,-42.73894375,171.2438965
Canterbury                 ,312,2019,Ewe Hoggets,-43.65992407,171.1450195
Otago                      ,289,2019,Ewe Hoggets,-45.47554027,170.0244141
Southland                  ,254,2019,Ewe Hoggets,-45.89000816,167.6843262
Chatham Islands,S,2019,Ewe Hoggets,-43.98491011,-176.4624023
Northland                  , 11 ,2018,Lamb (Ewe Hoggets Born),-35.43521,174.16651
Auckland                   , 16 ,2018,Lamb (Ewe Hoggets Born),-36.848461,174.763336
Waikato                    , 134 ,2018,Lamb (Ewe Hoggets Born),-37.390202,174.729004
Bay of Plenty              , 26 ,2018,Lamb (Ewe Hoggets Born),-37.68927,177.142288
Gisborne                   , 83 ,2018,Lamb (Ewe Hoggets Born),-38.662334,178.017654
Hawke's Bay                 , 114 ,2018,Lamb (Ewe Hoggets Born),-39.6017,176.5804
Taranaki                   , 15 ,2018,Lamb (Ewe Hoggets Born),-39.2711067,174.154795
Manawat?-Whanganui, 274 ,2018,Lamb (Ewe Hoggets Born),-39.7001275,175.4986325
Wellington                 , 90 ,2018,Lamb (Ewe Hoggets Born),-41.2887953,174.7772114
Tasman                , 9 ,2018,Lamb (Ewe Hoggets Born),-41.30222105,172.8945319
Nelson, -   ,2018,Lamb (Ewe Hoggets Born),-41.2710849,173.2836756
Marlborough             , 17 ,2018,Lamb (Ewe Hoggets Born),-41.47447475,173.8330263
West Coast                 , S ,2018,Lamb (Ewe Hoggets Born),-42.73894375,171.2438965
Canterbury                 , 202 ,2018,Lamb (Ewe Hoggets Born),-43.65992407,171.1450195
Otago                      , 164 ,2018,Lamb (Ewe Hoggets Born),-45.47554027,170.0244141
Southland                  , 161 ,2018,Lamb (Ewe Hoggets Born),-45.89000816,167.6843262
Chatham Islands, S ,2018,Lamb (Ewe Hoggets Born),-43.98491011,-176.4624023
Northland                  , 236 ,2018,Lamb (Ewe Born),-35.43521,174.16651
Auckland                   , S ,2018,Lamb (Ewe Born),-36.848461,174.763336
Waikato                    ," 1,317 ",2018,Lamb (Ewe Born),-37.390202,174.729004
Bay of Plenty              , 207 ,2018,Lamb (Ewe Born),-37.68927,177.142288
Gisborne                   ," 1,224 ",2018,Lamb (Ewe Born),-38.662334,178.017654
Hawke's Bay                 ," 2,151 ",2018,Lamb (Ewe Born),-39.6017,176.5804
Taranaki                   , 359 ,2018,Lamb (Ewe Born),-39.2711067,174.154795
Manawat?-Whanganui," 4,519 ",2018,Lamb (Ewe Born),-39.7001275,175.4986325
Wellington                 ," 1,262 ",2018,Lamb (Ewe Born),-41.2887953,174.7772114
Tasman                , 214 ,2018,Lamb (Ewe Born),-41.30222105,172.8945319
Nelson, 21 ,2018,Lamb (Ewe Born),-41.2710849,173.2836756
Marlborough             , 308 ,2018,Lamb (Ewe Born),-41.47447475,173.8330263
West Coast                 , S ,2018,Lamb (Ewe Born),-42.73894375,171.2438965
Canterbury                 ," 3,079 ",2018,Lamb (Ewe Born),-43.65992407,171.1450195
Otago                      ," 4,516 ",2018,Lamb (Ewe Born),-45.47554027,170.0244141
Southland                  ," 3,754 ",2018,Lamb (Ewe Born),-45.89000816,167.6843262
Chatham Islands, S ,2018,Lamb (Ewe Born),-43.98491011,-176.4624023
Northland                  , 14 ,2019,Lamb (Ewe Hoggets Born),-35.43521,174.16651
Auckland                   , S ,2019,Lamb (Ewe Hoggets Born),-36.848461,174.763336
Waikato                    , 90 ,2019,Lamb (Ewe Hoggets Born),-37.390202,174.729004
Bay of Plenty              , 14 ,2019,Lamb (Ewe Hoggets Born),-37.68927,177.142288
Gisborne                   , 74 ,2019,Lamb (Ewe Hoggets Born),-38.662334,178.017654
Hawke's Bay                 , 134 ,2019,Lamb (Ewe Hoggets Born),-39.6017,176.5804
Taranaki                   , 16 ,2019,Lamb (Ewe Hoggets Born),-39.2711067,174.154795
Manawat?-Whanganui, 250 ,2019,Lamb (Ewe Hoggets Born),-39.7001275,175.4986325
Wellington                 , 74 ,2019,Lamb (Ewe Hoggets Born),-41.2887953,174.7772114
Tasman                , S ,2019,Lamb (Ewe Hoggets Born),-41.30222105,172.8945319
Nelson, S ,2019,Lamb (Ewe Hoggets Born),-41.2710849,173.2836756
Marlborough             , S ,2019,Lamb (Ewe Hoggets Born),-41.47447475,173.8330263
West Coast                 , 5 ,2019,Lamb (Ewe Hoggets Born),-42.73894375,171.2438965
Canterbury                 , 203 ,2019,Lamb (Ewe Hoggets Born),-43.65992407,171.1450195
Otago                      , 146 ,2019,Lamb (Ewe Hoggets Born),-45.47554027,170.0244141
Southland                  , 115 ,2019,Lamb (Ewe Hoggets Born),-45.89000816,167.6843262
Chatham Islands, S ,2019,Lamb (Ewe Hoggets Born),-43.98491011,-176.4624023
Northland                  , 217 ,2019,Lamb (Ewe Born),-35.43521,174.16651
Auckland                   , 137 ,2019,Lamb (Ewe Born),-36.848461,174.763336
Waikato                    ," 1,377 ",2019,Lamb (Ewe Born),-37.390202,174.729004
Bay of Plenty              , 209 ,2019,Lamb (Ewe Born),-37.68927,177.142288
Gisborne                   ," 1,142 ",2019,Lamb (Ewe Born),-38.662334,178.017654
Hawke's Bay                 ," 1,941 ",2019,Lamb (Ewe Born),-39.6017,176.5804
Taranaki                   , 377 ,2019,Lamb (Ewe Born),-39.2711067,174.154795
Manawat?-Whanganui," 4,274 ",2019,Lamb (Ewe Born),-39.7001275,175.4986325
Wellington                 ," 1,179 ",2019,Lamb (Ewe Born),-41.2887953,174.7772114
Tasman                , 195 ,2019,Lamb (Ewe Born),-41.30222105,172.8945319
Nelson, 8 ,2019,Lamb (Ewe Born),-41.2710849,173.2836756
Marlborough             , 341 ,2019,Lamb (Ewe Born),-41.47447475,173.8330263
West Coast                 , 26 ,2019,Lamb (Ewe Born),-42.73894375,171.2438965
Canterbury                 ," 3,293 ",2019,Lamb (Ewe Born),-43.65992407,171.1450195
Otago                      ," 4,347 ",2019,Lamb (Ewe Born),-45.47554027,170.0244141
Southland                  ," 3,519 ",2019,Lamb (Ewe Born),-45.89000816,167.6843262
Chatham Islands, S ,2019,Lamb (Ewe Born),-43.98491011,-176.4624023
Northland                  ,195,2017,Breeding Ewes,-35.43521,174.16651
Auckland                   ,163,2017,Breeding Ewes,-36.848461,174.763336
Waikato                    ,"1,010",2017,Breeding Ewes,-37.390202,174.729004
Bay of Plenty              ,193,2017,Breeding Ewes,-37.68927,177.142288
Gisborne                   ,883,2017,Breeding Ewes,-38.662334,178.017654
