year_end,year,product_type,nzd_per_head,price_type
30/09/2014,2014,Lamb,100,historical
30/09/2015,2015,Lamb,94,historical
30/09/2016,2016,Lamb,93,historical
30/09/2017,2017,Lamb,106,historical
30/09/2018,2018,Lamb,122,forecast
30/09/2014,2014,Mutton,77,historical
30/09/2015,2015,Mutton,67,historical
30/09/2016,2016,Mutton,57,historical
30/09/2017,2017,Mutton,74,historical
30/09/2018,2018,Mutton,100,forecast
30/09/2014,2014,Fine Wool,10,historical
30/09/2015,2015,Fine Wool,9.15,historical
30/09/2016,2016,Fine Wool,9.97,historical
30/09/2017,2017,Fine Wool,10.74,historical
30/09/2018,2018,Fine Wool,13.43,forecast
30/09/2014,2014,Medium Wool,5.49,historical
30/09/2015,2015,Medium Wool,6.06,historical
30/09/2016,2016,Medium Wool,7.25,historical
30/09/2017,2017,Medium Wool,6.08,historical
30/09/2018,2018,Medium Wool,6.38,forecast
30/09/2014,2014,Strong Wool,3.84,historical
30/09/2015,2015,Strong Wool,4.07,historical
30/09/2016,2016,Strong Wool,4.45,historical
30/09/2017,2017,Strong Wool,3.15,historical
30/09/2018,2018,Strong Wool,2.52,forecast
30/09/2014,2014,nzd to usd,0.84,historical
30/09/2015,2015,nzd to usd,0.73,historical
30/09/2016,2016,nzd to usd,0.69,historical
30/09/2017,2017,nzd to usd,0.71,historical
30/09/2018,2018,nzd to usd,0.69,forecast
